date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:32:57	62646/62646	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Feb%202026%2016:20:31%20GMT	https://www.designjoy.co/	D:/My%20Web%20Sites/inspo3/www.designjoy.co/index.html	(from )
09:32:58	1191/1191	---M--	200	added ('OK')	image/png	etag:%22656293ddb4b69256b914741cdc5607c2%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/5e2fb217d4837e75854462c9_Small.png	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/5e2fb217d4837e75854462c9_Small.png	(from https://www.designjoy.co/)
09:32:59	12184/12184	---M--	200	added ('OK')	image/png	etag:%226c93bf05c7f2597e64ab89dd4e62f187%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/5e2fb219ca409a4a31ab607d_large.png	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/5e2fb219ca409a4a31ab607d_large.png	(from https://www.designjoy.co/)
09:32:59	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	D:/My%20Web%20Sites/inspo3/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.designjoy.co/)
09:32:59	76974/76974	---MCZ	200	added ('OK')	text/css	etag:W/%2203e6abea36c6ccf75e5e309e0328a832%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/css/designjoy.shared.d3c8c2815.min.css	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/css/designjoy.shared.d3c8c2815.min.css	(from https://www.designjoy.co/)
09:32:59	29614/29614	---M-Z	200	added ('OK')	application/javascript	etag:W/%2273ae-nwFPCwd3UXiTZ7YuAXjbCNGDpOw%22	https://cdn.jsdelivr.net/npm/@finsweet/cookie-consent@1/fs-cc.js	D:/My%20Web%20Sites/inspo3/cdn.jsdelivr.net/npm/@finsweet/cookie-consent@1/fs-cc.js	(from https://www.designjoy.co/)
09:33:03	364367/364367	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2012%20Mar%202026%2004:33:04%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/My%20Web%20Sites/inspo3/connect.facebook.net/en_US/fbevents.js	(from https://www.designjoy.co/)
09:33:03	84380/84380	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.1.4/jquery.min.js	D:/My%20Web%20Sites/inspo3/ajax.googleapis.com/ajax/libs/jquery/2.1.4/jquery.min.js	(from https://www.designjoy.co/)
09:33:06	14160/14160	---M--	200	added ('OK')	image/png	etag:%2274aa0fd13399bc34d20fd3b754b2a1cb%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec196f_Group%2011.png	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec196f_Group%2011.png	(from https://www.designjoy.co/)
09:33:07	129682/129682	---MCZ	200	added ('OK')	application/javascript	etag:W/%221fa92-19a54851840%22	https://api.memberstack.io/static/memberstack.js	D:/My%20Web%20Sites/inspo3/api.memberstack.io/static/memberstack.js	(from https://www.designjoy.co/)
09:33:10	31842/31842	---M--	200	added ('OK')	image/png	etag:%2262111e211512be4eb408578d5cecab15%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec197e_Smile.png	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec197e_Smile.png	(from https://www.designjoy.co/)
09:33:13	18710/18710	---M--	200	added ('OK')	image/png	etag:%228043e2a962b6b6d82141ef2ff14818c8%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec1999_Trello-Logo--Streamline-Logos.png	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec1999_Trello-Logo--Streamline-Logos.png	(from https://www.designjoy.co/)
